MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Once Upon Ay Time In Mumbai Dobaara!_2013,2013,3,1,4,1
Ramgarh Ke Sholay_1991,1991,2,2,3,2
Bumm Bumm Bole_2010,2010,2,2,3,2
Phool Bane Patthar_1998,1998,2,1,6,4
Insaaf (1997 film)_1997,1997,2,2,2,2
House No. 13_1991,1991,0,2,0,3
Hatyara_1977,1977,2,3,4,5
Fiffty Fiffty_1981,1981,1,2,3,4
Saudagar (1973 film)_1973,1973,0,1,0,4
Hamare Tumhare_1979,1979,1,3,7,4
Chalo Dilli_2011,2011,4,2,5,3
Impatient Vivek_2011,2011,1,3,1,3
Peepli Live_2010,2010,3,0,4,0
Aap Ki Kasam_1974,1974,1,1,5,5
Main Khiladi Tu Anari_1994,1994,5,2,9,5
Madhosh (1974 film)_1974,1974,2,1,4,9
Aatish (film)_1979,1979,2,3,4,4
Mahaanta_1997,1997,0,3,0,8
Hanuman Da' Damdaar_2017,2017,3,1,3,1
Hip Hip Hurray (film)_1984,1984,3,2,6,3
Joshila_1973,1973,1,2,3,7
Geet (1992 film)_1992,1992,1,4,4,14
Taqdeer Ka Tamasha_1990,1990,1,2,1,4
Yuhi Kabhi_1994,1994,2,1,5,2
Laadla (film)_1994,1994,2,2,6,5
Shreemaan Aashique_1993,1993,6,4,8,5
Haathi Ke Daant_1973,1973,0,2,0,4
Bheja Fry 2_2011,2011,1,1,1,1
Amrit (film)_1986,1986,2,2,2,3
Mera Dharam_1986,1986,1,2,1,5
Rudaali (1993 film)_1993,1993,1,2,3,4
Jai Dwarkadheesh_1977,1977,1,3,4,10
Aag Laga Do Sawan Ko_1991,1991,0,1,0,4
Dishkiyaoon_2014,2014,1,0,1,0
Charnon Ki Saugandh_1988,1988,1,1,6,4
Ganga Meri Maa_1983,1983,2,1,3,4
Phir Wohi Raat_1980,1980,2,2,4,4
Yeh Aag Kab Bujhegi_1991,1991,1,2,1,3
Maa (1992 Hindi film)_1991,1991,2,2,3,2
Suhaag (1979 film)_1979,1979,3,3,6,7
Zulm Ko Jala Doonga_1988,1988,0,2,0,6
Shareef Budmaash_1973,1973,1,2,3,3
Rangoon (2017 film)_2017,2017,4,3,6,8
Dangal (film)_2016,2016,7,2,7,2
Mehndi Rang Layegi_1982,1982,2,3,3,6
Nagina (1986 film)_1986,1986,0,3,0,4
Kachche Heere_1982,1982,1,2,2,6
Isi Ka Naam Zindagi_1992,1992,2,4,5,7
Kaanch Ki Deewar_1986,1986,2,2,3,5
Barsaat Ki Raat_1998,1998,2,5,4,11
Meri Aawaz Suno_1981,1981,1,1,2,5
Pehchan (1970 film)_1970,1970,3,4,6,5
The Xpose_2014,2014,6,5,16,15
Hanste Zakhm_1973,1973,1,2,2,4
Baabarr_2009,2009,1,1,2,2
Pataal Bhairavi_1985,1985,3,4,7,5
Mehbooba_1976,1976,2,1,4,5
Kitaab_1977,1977,2,1,2,1
Naaraaz (1994 film)_1994,1994,2,1,5,1
Maidan-E-Jung_1995,1995,5,4,6,5
Paranthe Wali Gali_2014,2014,1,1,1,1
Geet Gaata Chal_1975,1975,2,3,2,5
Saboot_1980,1980,0,1,0,2
Ok Jaanu_2017,2017,9,3,11,5
Babul Ki Galiyaan_1972,1972,2,1,2,6
Pratima Aur Paayal_1977,1977,2,3,7,7
Aangan Ki Kali_1979,1979,2,4,6,8
Wafadaar_1985,1985,2,3,3,5
Toonpur Ka Super Hero_2010,2010,10,1,14,2
Force 2_2016,2016,3,2,3,2
Mr. Natwarlal_1979,1979,3,4,3,4
Zameer (1975 film)_1975,1975,2,1,7,1
Bal Bramhachari_1996,1996,4,4,4,4
Do Aankhen_1974,1974,1,1,5,2
Phillauri (film)_2017,2017,3,2,5,3
Deedar (1992 film)_1992,1992,1,1,6,4
1920 London_2016,2016,5,1,5,3
Zulm Ki Hukumat_1992,1992,1,4,1,6
Sun Sajna_1982,1982,4,2,5,5
Suryavanshi (film)_1992,1992,2,3,3,6
Airlift (film)_2016,2016,4,0,9,0
Love and God_1986,1986,6,2,18,6
Krodhi_1981,1981,2,2,2,4
Mast Kalandar_1991,1991,1,1,1,3
Dharm Aur Qanoon_1984,1984,2,3,5,5
Zindagi 50-50_2013,2013,3,0,4,0
Aakhri Daao_1975,1975,2,2,3,2
Ek Baar Kaho_1980,1980,3,1,4,2
M3 - Midsummer Midnight Mumbai_2014,2014,1,0,1,0
Sholay_1975,1975,3,2,4,3
Hamara Dil Aapke Paas Hai_2000,2000,4,3,7,7
Wanted: Dead or Alive (1984 Hindi film)_1984,1984,2,1,2,3
Bhanwar_1976,1976,2,3,6,4
Aag Aur Shola_1986,1986,0,4,0,4
Pyaar Karke Dekho_1987,1987,4,3,6,9
Khoon Ka Karz_1991,1991,1,2,1,5
Jalte Badan_1973,1973,1,2,2,8
Mahaguru_1985,1985,1,2,1,5
Eena Meena Deeka_1994,1994,5,2,9,2
Chingari (1989 film)_1989,1989,2,2,5,7
Shola Aur Shabnam (1992 film)_1992,1992,2,0,6,0
Ankush_1986,1986,0,1,0,2
Yeh Dillagi (1994 film)_1994,1994,5,1,8,5
Haqeeqat (1995 film)_1995,1995,4,1,8,6
Aarop_1973,1973,3,3,5,4
Ram Balram_1980,1980,2,2,6,4
Dastaan (1972 film)_1972,1972,2,1,4,3
Lalkaar_1972,1972,2,3,5,4
Sheshnaag (film)_1990,1990,1,2,3,5
Phir Teri Kahani Yaad Aayee_1993,1993,3,2,6,5
Be-Reham_1980,1980,3,4,3,6
Jadu Tona_1977,1977,4,3,7,7
Coffee with D_2017,2017,2,1,3,1
Zamana Deewana_1995,1995,3,1,5,6
Tell Me O Kkhuda_2011,2011,1,0,5,0
Beta Ho To Aisa_1994,1994,0,2,0,3
Shikari: The Hunter_1991,1991,4,3,5,9
Yodha (1991 film)_1991,1991,1,4,2,6
Fan (film)_2016,2016,6,0,8,0
Kill Dil_2014,2014,11,2,19,2
Akhri Muqabla_1988,1988,2,1,5,8
Roop Tera Mastana_1972,1972,3,1,5,4
Gunehgar Kaun_1991,1991,2,1,3,4
Param Vir Chakra (film)_1995,1995,4,3,13,5
Ek Nanhi Munni Ladki Thi_1970,1970,2,1,4,2
Krodh (film)_2000,2000,2,3,2,8
Detective Byomkesh Bakshy_2015,2015,6,2,6,2
Rang Birangi_1983,1983,2,0,2,0
Hameshaa_1997,1997,3,2,6,6
Dushman (1972 film)_1972,1972,1,1,2,3
Sulemani Keeda (film)_2014,2014,1,1,1,2
Avtaar_1983,1983,3,3,7,3
Silsila Hai Pyar Ka_1999,1999,2,4,3,7
Aakhri Sangram_1984,1984,2,1,3,2
Ghost (2012 film)_2012,2012,3,1,4,1
Ram-Avtar_1988,1988,1,2,1,5
Rani Aur Lalpari_1975,1975,1,1,2,5
Loha (1997 film)_1997,1997,2,1,3,2
Janam Se Pehle_1994,1994,2,2,5,4
Touhean_1989,1989,2,3,3,9
Gol Maal_1979,1979,3,1,7,2
Mausam (2011 film)_2011,2011,6,0,10,0
Mili (1975 film)_1975,1975,2,1,5,1
Sankalp_1975,1975,4,0,7,0
Dev.D_2009,2009,0,0,0,0
Agni Rekha_1973,1973,3,2,3,4
Mere Apne_1971,1971,3,1,4,1
Stuntman (film)_1994,1994,2,2,6,6
Pyar Hua Chori Chori_1992,1992,2,3,4,8
Billoo Badshah_1989,1989,1,0,2,0
Gumrah (1993 film)_1993,1993,0,3,0,3
New York (film)_2009,2009,2,1,2,2
Asmaan Se Ooncha_1989,1989,2,3,3,5
Asli Naqli_1986,1986,0,2,0,4
Godmother (film)_1999,1999,0,3,0,4
Aloo Chaat (film)_2009,2009,2,1,3,3
Dhuaan_1981,1981,1,3,1,5
Yaraana (1995 film)_1995,1995,1,2,2,7
Ikke Pe Ikka_1994,1994,2,2,2,4
Meera (1979 film)_1979,1979,0,1,0,12
Mere Jeevan Saathi (1972 film)_1972,1972,1,2,6,2
Apne Rang Hazaar_1975,1975,0,0,0,0
Ajnabee (1974 film)_1974,1974,2,2,5,3
Amar Deep (1979 film)_1979,1979,1,3,3,3
Arpan_1983,1983,2,1,2,4
Ek Thi Daayan_2013,2013,2,2,2,3
Bhoothnath Returns_2014,2014,3,0,6,0
Hum Paanch (film)_1980,1980,4,3,4,3
Hum Dono (1985 film)_1985,1985,1,3,6,8
Lok Parlok_1979,1979,1,1,5,4
