MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Dost,man,1,164,16,10.25
Dost,sharma,1,54,13,4.153846154
Trimurti,shakti,10,230,102,2.254901961
Trimurti,anand,5,66.5,63,1.055555556
Trimurti,police,9,67,71,0.943661972
Trimurti,khokha,6,0,40,0
Trimurti,sikander,3,433.5,56,7.741071429
Trimurti,man,1,311,20,15.55
Trimurti,romi,22,212.5,173,1.228323699
Trimurti,brother,2,147.1666667,36,4.087962963
Ram Jaane,murli,11,609,189,3.222222222
Ram Jaane,chewte,9,115,81,1.419753086
Ram Jaane,jaane,25,2266.533333,316,7.17257384
Ram Jaane,bhau,1,533.5,45,11.85555556
Ram Jaane,baweja,4,403.6666667,65,6.21025641
Ram Jaane,boy,2,203,27,7.518518519
Ram Jaane,ram,54,152,365,0.416438356
Dulhan,vijay,6,57,59,0.966101695
Akele Hum Akele Tum,man,1,270,18,15
Akele Hum Akele Tum,rohit,33,3311.333333,227,14.58737151
Akele Hum Akele Tum,bhujbal,1,0,17,0
Aatank Hi Aatank,rohan,6,134.6666667,56,2.404761905
Aatank Hi Aatank,joshi,1,37,20,1.85
Aatank Hi Aatank,father,5,400.1666667,60,6.669444444
Aatank Hi Aatank,aslam,5,0,106,0
Aatank Hi Aatank,sharad,1,0,20,0
Aatank Hi Aatank,brother,1,15,4,3.75
Aatank Hi Aatank,munna,8,20,68,0.294117647
Aazmayish,dharmendra,6,137.5,54,2.546296296
Aazmayish,prem,11,43.33333333,101,0.429042904
Geeta Mera Naam,sunil,5,0,36,0
Geeta Mera Naam,brother,1,0,4,0
Baazi,amar,0,1190.6,188,6.332978723
Baazi,chaubey,0,174,123,1.414634146
Baazi,man,0,377.8333333,97,3.895189003
Goonj,,0,0,0,0
Goonj,rakesh,0,2029.333333,303,6.697469747
Goonj,raju,0,566.5,181,3.129834254
Goonj,nephew,0,32.5,5,6.5
Goonj,man,0,900.6666667,59,15.26553672
Bewafa Sanam,gautam,4,7198.117821,94,76.5757215
Bombay,basheer,0,15,94,0.159574468
Bombay,shekhar,0,702,232,3.025862069
Bombay,narayana,0,0,52,0
Bombay,pillai,0,515.3333333,76,6.780701754
Haath Ki Safai,brother,2,10,9,1.111111111
Coolie No. 1,gharjode,2,108.3333333,56,1.93452381
Coolie No. 1,hoshiyar,11,19,75,0.253333333
Criminal,dr.,0,0,0,0
Criminal,man,0,23.5,9,2.611111111
Criminal,ajay,0,101,69,1.463768116
Hawas,shailendra,4,63,50,1.26
Hawas,natwarlal,5,147,53,2.773584906
Diya Aur Toofan,mithun,0,195,16,12.1875
Humshakal,,0,0,0,0
Humshakal,laxman,2,742.9,169,4.395857988
Humshakal,son,1,17,6,2.833333333
Humshakal,man,2,396.5,34,11.66176471
Humshakal,ram,29,493.1666667,285,1.730409357
Dushmani: A Violent Love Story,suraj,3,281,40,7.025
Dushmani: A Violent Love Story,jai,7,53.5,95,0.563157895
Dushmani: A Violent Love Story,oberoi,6,191.6666667,67,2.860696517
Dushmani: A Violent Love Story,brother,1,190.8333333,22,8.674242424
Imtihaan,raja,4,19,30,0.633333333
Imtihaan,father,6,112.5,54,2.083333333
Guddu,son,2,78.75,28,2.8125
Guddu,guddu,22,120,153,0.784313725
Ishq Ishq Ishq,dhun,10,85,81,1.049382716
Gundaraj,chauhan,1,11,9,1.222222222
Gundaraj,father,2,80.66666667,31,2.602150538
Gundaraj,ajay,21,82,188,0.436170213
Hathkadi,arun,5,53.33333333,83,0.642570281
Hathkadi,bhavani,13,0,112,0
Hathkadi,man,2,546.5,26,21.01923077
Hathkadi,chakku,21,0,173,0
Hum Sab Chor Hain,kamal,0,114.6666667,98,1.170068027
Hum Sab Chor Hain,ravi,0,241.5,105,2.3
